kind,index,time_s,time_hms,peak_x_local_floor,interval_from_prev_s
spike,1,60.11,0:01:00,36.9,
spike,2,62.58,0:01:02,9.7,2.47
spike,3,82.42,0:01:22,25.6,19.84
spike,4,96.45,0:01:36,27.6,14.03
spike,5,120.51,0:02:00,20.9,24.06
spike,6,127.70,0:02:07,22.8,7.19
spike,7,167.38,0:02:47,14.5,39.68
spike,8,171.63,0:02:51,24.5,4.25
spike,9,172.84,0:02:52,10.5,1.21
spike,10,194.89,0:03:14,8.7,22.05
spike,11,206.18,0:03:26,29.0,11.29
spike,12,213.61,0:03:33,29.2,7.43
spike,13,215.17,0:03:35,23.2,1.56
spike,14,258.62,0:04:18,26.1,43.45
spike,15,291.18,0:04:51,28.2,32.56
spike,16,303.36,0:05:03,30.2,12.18
spike,17,326.40,0:05:26,35.8,23.04
spike,18,349.28,0:05:49,24.2,22.88
spike,19,378.77,0:06:18,23.3,29.49
spike,20,386.03,0:06:26,18.3,7.26
spike,21,395.83,0:06:35,21.8,9.80
spike,22,440.68,0:07:20,16.8,44.85
spike,23,441.79,0:07:21,22.8,1.11
spike,24,467.09,0:07:47,31.2,25.30
spike,25,471.35,0:07:51,10.0,4.26
spike,26,484.00,0:08:04,19.3,12.65
spike,27,526.69,0:08:46,32.5,42.69
spike,28,552.49,0:09:12,25.5,25.80
spike,29,559.01,0:09:19,35.3,6.52
spike,30,563.40,0:09:23,20.7,4.39
spike,31,570.53,0:09:30,28.8,7.13
spike,32,615.22,0:10:15,19.9,44.69
spike,33,636.67,0:10:36,32.6,21.45
spike,34,659.58,0:10:59,18.9,22.91
spike,35,671.31,0:11:11,44.6,11.73
spike,36,705.23,0:11:45,13.3,33.92
spike,37,724.30,0:12:04,28.4,19.07
spike,38,744.04,0:12:24,15.8,19.74

kind,index,start_s,end_s,spikes,rate_per_min,median_interval_s,verdict
segment,1,60,360,18,3.600,14.03,불규칙
segment,2,360,660,16,3.200,12.65,불규칙
segment,3,660,749,4,2.698,19.74,표본 부족
