file,index,spike_time_s,spike_time_mmss,peak_x_noise_floor,interval_from_prev_s
260828_184328,15,332.00,5:32,210.7,14.00
260828_184328,16,345.00,5:45,154.1,13.00
260828_184328,17,348.00,5:48,28.8,3.00
260828_184328,18,362.00,6:02,7.5,14.00
260828_184328,19,371.00,6:11,121.4,9.00
260828_184328,20,386.00,6:26,56.8,15.00
260828_184328,21,399.00,6:39,94.1,13.00
260828_184328,22,425.00,7:05,93.0,26.00
260828_184328,23,453.00,7:33,104.9,28.00
260828_184328,24,458.00,7:38,10.8,5.00
260828_184328,25,479.00,7:59,155.7,21.00
260828_184328,26,496.00,8:16,48.2,17.00
260828_184328,27,507.00,8:27,53.0,11.00
260828_184328,28,533.00,8:53,1.8,26.00
260828_184328,29,561.00,9:21,117.9,28.00
260828_184328,30,587.00,9:47,142.1,26.00
260828_184328,31,588.00,9:48,142.1,1.00
260828_184328,32,606.00,10:06,52.9,18.00
260828_184328,33,616.00,10:16,164.0,10.00
260828_184328,34,643.00,10:43,179.3,27.00
260828_184328,35,660.00,11:00,1.7,17.00
260829_002536,1,63.25,1:03,187.5,
260829_002536,2,90.65,1:30,225.5,27.40
260829_002536,3,94.68,1:34,135.3,4.03
260829_002536,4,98.28,1:38,47.5,3.60
260829_002536,5,102.04,1:42,22.4,3.76
260829_002536,6,118.25,1:58,231.6,16.21
260829_002536,7,128.99,2:08,22.1,10.74
260829_002536,8,130.04,2:10,787.5,1.05
260829_002536,9,144.38,2:24,217.1,14.34
260829_002536,10,172.22,2:52,288.1,27.84
260829_002536,11,201.23,3:21,159.7,29.01
260829_002536,12,206.78,3:26,98.5,5.55
260829_002536,13,227.89,3:47,189.5,21.11
260829_002536,14,255.05,4:15,262.5,27.16
260829_002536,15,281.59,4:41,134.2,26.54
260829_002536,16,310.51,5:10,302.5,28.92
260829_002536,17,320.17,5:20,100.0,9.66
260829_002536,18,336.60,5:36,169.5,16.43
260829_002536,19,365.22,6:05,239.2,28.62
260829_002536,20,391.73,6:31,292.3,26.51
260829_002536,21,396.51,6:36,86.4,4.78
260829_002536,22,413.99,6:53,21.3,17.48
260829_002536,23,420.47,7:00,347.8,6.48
260829_002536,24,434.89,7:14,98.9,14.42
260829_002536,25,440.42,7:20,64.8,5.53
260829_002536,26,442.88,7:22,638.4,2.46
260829_002536,27,446.67,7:26,186.6,3.79
260829_002536,28,476.07,7:56,157.7,29.40
260829_002536,29,502.87,8:22,207.9,26.80
260829_002536,30,531.15,8:51,379.7,28.28
260829_002536,31,550.02,9:10,145.4,18.87
260829_002536,32,559.37,9:19,163.3,9.35
260829_002536,33,564.01,9:24,57.9,4.64
260829_002536,34,587.89,9:47,240.6,23.88
260829_002536,35,614.56,10:14,150.2,26.67
260829_002536,36,642.82,10:42,218.8,28.26
260829_035407,1,72.84,1:12,84.3,
260829_035407,2,77.83,1:17,43.5,4.99
260829_035407,3,86.15,1:26,34.0,8.32
260829_035407,4,100.05,1:40,109.9,13.90
260829_035407,5,128.24,2:08,21.1,28.19
260829_035407,6,129.53,2:09,78.3,1.29
260829_035407,7,154.38,2:34,69.1,24.85
260829_035407,8,183.84,3:03,88.4,29.46
260829_035407,9,188.28,3:08,63.9,4.44
260829_035407,10,211.44,3:31,79.1,23.16
260829_035407,11,225.58,3:45,22.3,14.14
260829_035407,12,239.84,3:59,55.7,14.26
260829_035407,13,265.30,4:25,123.1,25.46
260829_035407,14,294.17,4:54,74.1,28.87
260829_035407,15,298.40,4:58,35.3,4.23
260829_035407,16,322.09,5:22,92.2,23.69
260829_035407,17,350.03,5:50,109.8,27.94
260829_035407,18,365.42,6:05,38.7,15.39
260829_035407,19,375.14,6:15,132.7,9.72
260829_035407,20,402.66,6:42,92.9,27.52
260829_035407,21,408.47,6:48,61.2,5.81
260829_035407,22,430.90,7:10,116.2,22.43
260829_035407,23,457.08,7:37,91.2,26.18
260829_035407,24,458.53,7:38,70.7,1.45
260829_035407,25,485.58,8:05,86.8,27.05
260829_035407,26,507.86,8:27,32.0,22.28
260829_035407,27,513.01,8:33,76.5,5.15
260829_035407,28,518.79,8:38,46.8,5.78
260829_035407,29,520.11,8:40,21.1,1.32
260829_035407,30,521.16,8:41,23.1,1.05
260829_035407,31,540.19,9:00,81.1,19.03
260829_035407,32,568.15,9:28,74.1,27.96
260829_035407,33,595.01,9:55,103.1,26.86
260829_035407,34,623.86,10:23,81.7,28.85
260829_035407,35,629.61,10:29,54.9,5.75
260829_035407,36,642.75,10:42,33.8,13.14
260829_035407,37,650.64,10:50,85.0,7.89
260829_162614,1,60.12,1:00,43.1,
260829_162614,2,62.58,1:02,11.3,2.46
260829_162614,3,82.42,1:22,23.3,19.84
260829_162614,4,96.45,1:36,28.6,14.03
260829_162614,5,120.51,2:00,24.8,24.06
260829_162614,6,127.70,2:07,23.8,7.19
260829_162614,7,167.38,2:47,18.5,39.68
260829_162614,8,171.63,2:51,30.2,4.25
260829_162614,9,172.84,2:52,12.8,1.21
260829_162614,10,206.18,3:26,31.3,33.34
260829_162614,11,213.61,3:33,31.0,7.43
260829_162614,12,215.17,3:35,24.5,1.56
260829_162614,13,258.62,4:18,25.2,43.45
260829_162614,14,291.19,4:51,22.2,32.57
260829_162614,15,303.36,5:03,21.4,12.17
260829_162614,16,326.40,5:26,30.7,23.04
260829_162614,17,349.28,5:49,21.6,22.88
260829_162614,18,378.77,6:18,23.8,29.49
260829_162614,19,386.03,6:26,19.1,7.26
260829_162614,20,395.84,6:35,20.9,9.81
260829_162614,21,440.69,7:20,20.5,44.85
260829_162614,22,441.79,7:21,27.2,1.10
260829_162614,23,467.09,7:47,30.5,25.30
260829_162614,24,484.00,8:04,18.8,16.91
260829_162614,25,526.69,8:46,31.1,42.69
260829_162614,26,552.49,9:12,24.6,25.80
260829_162614,27,559.01,9:19,32.0,6.52
260829_162614,28,563.40,9:23,18.5,4.39
260829_162614,29,570.53,9:30,27.8,7.13
260829_162614,30,615.22,10:15,25.4,44.69
260829_162614,31,636.67,10:36,27.9,21.45
260829_162614,32,659.58,10:59,19.2,22.91
260829_171651,1,77.57,1:17,141.7,
260829_171651,2,114.47,1:54,170.8,36.90
260829_171651,3,122.30,2:02,149.7,7.83
260829_171651,4,149.13,2:29,478.2,26.83
260829_171651,5,166.95,2:46,135.5,17.82
260829_171651,6,198.64,3:18,187.2,31.69
260829_171651,7,202.87,3:22,181.1,4.23
260829_171651,8,209.80,3:29,125.4,6.93
260829_171651,9,252.35,4:12,154.9,42.55
260829_171651,10,263.33,4:23,386.0,10.98
260829_171651,11,292.05,4:52,157.1,28.72
260829_171651,12,293.68,4:53,162.6,1.63
260829_171651,13,336.03,5:36,145.0,42.35
260829_171651,14,367.36,6:07,185.0,31.33
260829_171651,15,380.34,6:20,390.2,12.98
260829_171651,16,424.34,7:04,184.0,44.00
260829_171651,17,463.41,7:43,180.2,39.07
260829_171651,18,469.04,7:49,183.6,5.63
260829_171651,19,492.81,8:12,405.5,23.77
260829_171651,20,513.66,8:33,138.3,20.85
260829_171651,21,535.98,8:55,158.6,22.32
260829_171651,22,550.66,9:10,138.1,14.68
260829_171651,23,557.73,9:17,173.0,7.07
260829_171651,24,602.27,10:02,149.8,44.54
260829_171651,25,606.17,10:06,337.1,3.90
260829_171651,26,638.92,10:38,165.7,32.75
260829_171651,27,644.24,10:44,132.3,5.32
260829_213356,1,60.00,1:00,103.3,
260829_213356,2,103.00,1:43,86.4,43.00
260829_213356,3,135.00,2:15,75.8,32.00
260829_213356,4,146.00,2:26,297.0,11.00
260829_213356,5,147.00,2:27,297.0,1.00
260829_213356,6,166.00,2:46,74.1,19.00
260829_213356,7,191.00,3:11,72.1,25.00
260829_213356,8,218.00,3:38,107.3,27.00
260829_213356,9,235.00,3:55,79.2,17.00
260829_213356,10,255.00,4:15,348.3,20.00
260829_213356,11,280.00,4:40,76.9,25.00
260829_213356,12,305.00,5:05,95.8,25.00
260829_213356,13,322.00,5:22,67.6,17.00
260829_213356,14,333.00,5:33,75.3,11.00
260829_213356,15,364.00,6:04,105.8,31.00
260829_213356,16,367.00,6:07,280.2,3.00
260829_213356,17,393.00,6:33,101.4,26.00
260829_213356,18,406.00,6:46,75.4,13.00
260829_213356,19,448.00,7:28,61.1,42.00
260829_213356,20,479.00,7:59,83.6,31.00
260829_213356,21,481.00,8:01,358.2,2.00
260829_213356,22,491.00,8:11,91.4,10.00
260829_213356,23,499.00,8:19,105.3,8.00
260829_213356,24,533.00,8:53,77.4,34.00
260829_213356,25,562.00,9:22,83.5,29.00
260829_213356,26,576.00,9:36,77.9,14.00
260829_213356,27,591.00,9:51,280.5,15.00
260829_213356,28,620.00,10:20,85.6,29.00
260829_213356,29,649.00,10:49,106.8,29.00
260830_034603,1,87.63,1:27,196.0,
260830_034603,2,124.61,2:04,423.2,36.98
260830_034603,3,130.77,2:10,248.0,6.16
260830_034603,4,139.56,2:19,231.0,8.79
260830_034603,5,150.33,2:30,123.9,10.77
260830_034603,6,174.45,2:54,214.7,24.12
260830_034603,7,217.74,3:37,202.7,43.29
260830_034603,8,220.07,3:40,247.3,2.33
260830_034603,9,236.37,3:56,399.2,16.30
260830_034603,10,261.69,4:21,243.6,25.32
260830_034603,11,302.14,5:02,307.3,40.45
260830_034603,12,304.98,5:04,161.6,2.84
260830_034603,13,311.89,5:11,172.3,6.91
260830_034603,14,346.25,5:46,253.9,34.36
260830_034603,15,348.47,5:48,262.9,2.22
260830_034603,16,386.66,6:26,201.6,38.19
260830_034603,17,391.06,6:31,194.0,4.40
260830_034603,18,433.65,7:13,166.0,42.59
260830_034603,19,458.30,7:38,316.9,24.65
260830_034603,20,471.70,7:51,282.2,13.40
260830_034603,21,476.58,7:56,200.3,4.88
260830_034603,22,519.80,8:39,329.2,43.22
260830_034603,23,551.40,9:11,219.8,31.60
260830_034603,24,563.17,9:23,222.9,11.77
260830_034603,25,569.48,9:29,305.7,6.31
260830_034603,26,607.07,10:07,197.7,37.59
260830_034603,27,629.65,10:29,125.0,22.58
260830_034603,28,635.31,10:35,342.0,5.66
260830_034603,29,650.53,10:50,212.3,15.22
260830_094425,1,89.12,1:29,299.6,
260830_094425,2,92.91,1:32,149.6,3.79
260830_094425,3,98.91,1:38,44.7,6.00
260830_094425,4,108.30,1:48,105.9,9.39
260830_094425,5,117.36,1:57,379.8,9.06
260830_094425,6,124.27,2:04,367.0,6.91
260830_094425,7,136.87,2:16,186.7,12.60
260830_094425,8,145.03,2:25,38.0,8.16
260830_094425,9,180.76,3:00,143.1,35.73
260830_094425,10,200.51,3:20,199.3,19.75
260830_094425,11,202.17,3:22,248.2,1.66
260830_094425,12,224.26,3:44,129.9,22.09
260830_094425,13,267.91,4:27,192.5,43.65
260830_094425,14,280.58,4:40,182.8,12.67
260830_094425,15,311.77,5:11,292.6,31.19
260830_094425,16,354.95,5:54,158.3,43.18
260830_094425,17,364.38,6:04,169.1,9.43
260830_094425,18,398.96,6:38,174.0,34.58
260830_094425,19,422.07,7:02,317.2,23.11
260830_094425,20,425.46,7:05,139.4,3.39
260830_094425,21,443.15,7:23,188.2,17.69
260830_094425,22,449.12,7:29,189.7,5.97
260830_094425,23,487.48,8:07,126.7,38.36
260830_094425,24,530.39,8:50,186.8,42.91
260830_094425,25,532.50,8:52,222.2,2.11
260830_094425,26,535.55,8:55,651.2,3.05
260830_094425,27,574.22,9:34,181.1,38.67
260830_094425,28,584.52,9:44,158.3,10.30
260830_094425,29,613.91,10:13,161.8,29.39
260830_094425,30,619.41,10:19,222.2,5.50
260830_094425,31,645.75,10:45,270.8,26.34
260830_154447,1,87.88,1:27,303.9,
260830_154447,2,93.42,1:33,144.0,5.54
260830_154447,3,103.26,1:43,210.0,9.84
260830_154447,4,134.61,2:14,133.9,31.35
260830_154447,5,170.26,2:50,218.9,35.65
260830_154447,6,171.61,2:51,145.8,1.35
260830_154447,7,176.50,2:56,129.8,4.89
260830_154447,8,214.31,3:34,168.8,37.81
260830_154447,9,218.32,3:38,136.9,4.01
260830_154447,10,255.15,4:15,240.8,36.83
260830_154447,11,259.98,4:19,154.1,4.83
260830_154447,12,302.49,5:02,144.7,42.51
260830_154447,13,328.71,5:28,172.2,26.22
260830_154447,14,333.59,5:33,111.1,4.88
260830_154447,15,340.48,5:40,185.1,6.89
260830_154447,16,344.26,5:44,116.2,3.78
260830_154447,17,386.15,6:26,105.4,41.89
260830_154447,18,420.32,7:00,232.8,34.17
260830_154447,19,428.87,7:08,167.8,8.55
260830_154447,20,436.69,7:16,31.7,7.82
260830_154447,21,441.87,7:21,167.3,5.18
260830_154447,22,471.28,7:51,143.5,29.41
260830_154447,23,497.55,8:17,192.6,26.27
260830_154447,24,503.23,8:23,219.0,5.68
260830_154447,25,512.99,8:32,141.6,9.76
260830_154447,26,553.13,9:13,196.0,40.14
260830_154447,27,554.27,9:14,173.7,1.14
260830_154447,28,555.47,9:15,27.9,1.20
260830_154447,29,569.06,9:29,26.9,13.59
260830_154447,30,588.72,9:48,262.1,19.66
260830_154447,31,596.08,9:56,140.5,7.36
260830_154447,32,638.17,10:38,139.3,42.09
260830_154447,33,652.51,10:52,41.3,14.34
