kind,index,time_s,time_hms,peak_x_local_floor,interval_from_prev_s
spike,1,72.84,0:01:12,54.8,
spike,2,77.83,0:01:17,27.5,4.99
spike,3,86.15,0:01:26,20.6,8.32
spike,4,100.04,0:01:40,67.7,13.89
spike,5,128.24,0:02:08,13.5,28.20
spike,6,129.53,0:02:09,49.8,1.29
spike,7,154.38,0:02:34,38.4,24.85
spike,8,183.84,0:03:03,55.5,29.46
spike,9,188.28,0:03:08,40.8,4.44
spike,10,211.44,0:03:31,69.4,23.16
spike,11,225.58,0:03:45,22.3,14.14
spike,12,239.84,0:03:59,55.6,14.26
spike,13,265.30,0:04:25,117.2,25.46
spike,14,294.17,0:04:54,73.8,28.87
spike,15,298.40,0:04:58,36.5,4.23
spike,16,322.09,0:05:22,104.1,23.69
spike,17,350.03,0:05:50,118.8,27.94
spike,18,365.42,0:06:05,43.0,15.39
spike,19,375.14,0:06:15,147.4,9.72
spike,20,390.62,0:06:30,16.3,15.48
spike,21,402.66,0:06:42,103.3,12.04
spike,22,408.47,0:06:48,69.4,5.81
spike,23,430.90,0:07:10,129.1,22.43
spike,24,457.08,0:07:37,93.2,26.18
spike,25,458.53,0:07:38,73.3,1.45
spike,26,485.58,0:08:05,91.6,27.05
spike,27,507.86,0:08:27,34.1,22.28
spike,28,513.01,0:08:33,84.1,5.15
spike,29,518.79,0:08:38,51.0,5.78
spike,30,520.11,0:08:40,22.9,1.32
spike,31,521.16,0:08:41,24.9,1.05
spike,32,540.19,0:09:00,87.6,19.03
spike,33,568.15,0:09:28,88.8,27.96
spike,34,595.01,0:09:55,121.3,26.86
spike,35,623.86,0:10:23,96.1,28.85
spike,36,629.61,0:10:29,64.6,5.75
spike,37,642.75,0:10:42,41.7,13.14
spike,38,650.64,0:10:50,99.3,7.89
spike,39,677.67,0:11:17,294.4,27.03
spike,40,704.95,0:11:44,71.1,27.28

kind,index,start_s,end_s,spikes,rate_per_min,median_interval_s,verdict
segment,1,60,360,17,3.400,18.71,약한 규칙성
segment,2,360,660,21,4.200,12.59,약한 규칙성
segment,3,660,734,2,1.626,27.28,표본 부족
